GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,Publisher Name,Publisher ZipCode,Object Type,Language,Pages,Start Page,Company Name,Company NAIC,Class Terms,Subject Terms
1993534835,"Read the Nunes Memo, Annotated",2018-02-03,Newspapers,"['Savage, Charlie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.13,"['Committee on Intelligence, Permanent Select-House of Representatives', 'Fusion GPS', 'Department of Justice', 'Senate', 'Federal Bureau of Investigation--FBI', 'Congress-US', 'House of Representatives-US']","['921120', '541720', '922130', '921120', '922120', '921120', '921120']",,"['Standards', 'Intelligence gathering', 'Congressional investigations', 'Advisors', 'Congressional elections', 'Public interest', 'Renewals', 'Attorneys general', 'National security', 'Political campaigns', 'Committees', 'Executive orders', 'Presidential elections', 'Classified information', 'Electronic surveillance']"
1993534860,"Shunned By Trump, Now Used As a Weapon",2018-02-03,Newspapers,"['Watkins, Ali']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.12,"['Washington Free Beacon', 'Committee on Intelligence, Select-Senate']","['519130', '611110', '921120']",,"['Law enforcement', 'Political campaigns', 'Criminal investigations', 'Energy industry', 'Congressional committees']"
1993538203,Now On to Trump's Tax Returns,2018-02-03,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.18,"['Foreign Intelligence Surveillance Court', 'Trump Organization', 'Department of Justice', 'Federal Bureau of Investigation--FBI']","['922110', '237210', '531210', '922130', '922120']",,"['Transparency', 'Political campaigns', 'Committees', 'Tax returns', 'Editorials', 'Income tax returns', 'Memoranda', 'Intelligence gathering', 'Presidents', 'Disclosure', 'Criminal investigations', 'Search warrants', 'Presidential elections', 'Scandals']"
1993908783,"Sessions Silent as Trump Attacks His Department, Risking Its Autonomy",2018-02-05,Newspapers,"['Benner, Katie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,"['Senate', 'Facebook Inc', 'Office of Legal Counsel', 'Congress-US', 'X Corp (twitter)']","['921120', '516210', '518210', '922130', '921120', '516210']",,"['Attorneys general', 'Political leadership', 'Public prosecutors', 'Presidents', 'Criminal investigations', 'Surveillance', 'Employees']"
1993909012,Democrats Press Case to Release Rebuttal of G.O.P. Russia Memo,2018-02-05,Newspapers,"['Fandos, Nicholas']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,"['Committee on Intelligence, Permanent Select-House of Representatives', 'Democratic National Committee', 'Foreign Intelligence Surveillance Court', 'Senate', 'Republican Party', 'Democratic Party']","['921120', '813940', '922110', '921120', '813940', '813940']",,"['Law enforcement', 'Obstruction of justice', 'National security', 'Committees', 'Surveillance', 'Collusion', 'Disclosure', 'Presidential elections', 'Classified information']"
1994239346,Gowdy Emerges as Key Challenger to Trump on the G.O.P. Russia Memo,2018-02-06,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.13,"['Fox News Channel', 'Twitter Inc', 'Congress', 'House of Representatives-Oversight & Government Reform, Committee on', 'Clemson University']","['516120', '516210', '921120', '921120', '611310']",,"['Investigations', 'Political parties', 'Presidents', 'Political campaigns', 'Congressional committees']"
1994239420,Rebuttal Memo by Democrats Faces Its Next Hurdle: Trump,2018-02-06,Newspapers,"['Fandos, Nicholas']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,"['Committee on Intelligence, Permanent Select-House of Representatives', 'Foreign Intelligence Surveillance Court', 'Democratic National Committee', 'Congress', 'House of Representatives', 'Department of Justice', 'Republican Party', 'Democratic Party', 'Federal Bureau of Investigation--FBI']","['921120', '922110', '813940', '921120', '921120', '922130', '813940', '813940', '922120']",,"['Committees', 'Surveillance', 'Presidential elections', 'Transparency', 'Law enforcement', 'Intelligence gathering', 'Disclosure', 'Collusion', 'Memoranda', 'Electronic surveillance']"
1994604803,2 Senators Issue Letter To Support House Memo,2018-02-07,Newspapers,"['Haberman, Maggie', 'LaFRANIERE, SHARON', 'Shear, Michael D']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.19,"['CNN', 'Democratic National Committee', 'Facebook Inc', 'Foreign Intelligence Surveillance Court', 'Department of Justice', 'Twitter Inc', 'Congress', 'Senate', 'Senate-Judiciary, Committee on the']","['515210', '813940', '518210', '519130', '922110', '922130', '519130', '921120', '921120', '921120']",,"['Political parties', 'National security', 'Surveillance', 'Presidential elections', 'Congressional committees']"
1999050232,China Detains Executive Close to the Family of a Former Prime Minister,2018-02-08,Newspapers,"['Barboza, David', 'Forsythe, Michael']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.7,['Aman Resorts'],['721110'],,"['Criminal sentences', 'Prime ministers', 'Corruption in government', 'Political leadership', 'Criminal investigations', 'Executives']"
1999446210,"With Wall, House Panel's Partisan Divisions Will Be Literal",2018-02-09,Newspapers,"['Lafraniere, Sharon', 'Fandos, Nicholas']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.18,"['Republican Party', 'Congress', 'Democratic Party', 'Senate', 'Committee on Intelligence, Select-Senate', 'Committee on Intelligence, Permanent Select-House of Representatives']","['813940', '921120', '813940', '921120', '921120', '921120']",,"['Law enforcement', 'Political parties', 'Intelligence gathering', 'Partisanship', 'Influence', 'Studies', 'Presidential elections', 'Public hearings', 'Classified information', 'Congressional committees']"
1999879832,U.S. Spies Paid Russian Peddling Trump Secrets,2018-02-10,Newspapers,"['Rosenberg, Matthew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,"['Twitter Inc', 'National Security Agency']","['519130', '928110']",,"['Social networks', 'Security services', 'National security', 'Immunity from prosecution']"
1999881906,No. 3 at the Justice Dept. Says She Will Step Down,2018-02-10,Newspapers,"['Benner, Katie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.12,"['Congress', 'Twitter Inc', 'Walmart Inc', 'Associated Press', 'Facebook Inc', 'National Security Agency']","['921120', '519130', '452112', '452311', '454110', '519110', '518210', '519130', '928110']",,"['Attorneys general', 'Law enforcement', 'Political appointments']"
